time(yyyymm) ts_sst
190705 -0.476323
190706 -0.466810
190707 -0.466393
190708 -0.523829
190709 -0.456918
190710 -0.443723
190711 -0.386194
190712 -0.411212
190801 -0.405544
190802 -0.495296
190803 -0.629506
190804 -0.546321
190805 -0.587511
190806 -0.677454
190807 -0.700055
190808 -0.665989
190809 -0.587681
190810 -0.657448
190811 -0.687616
190812 -0.679029
190901 -0.585388
190902 -0.564497
190903 -0.578384
190904 -0.507123
190905 -0.499798
190906 -0.550938
190907 -0.684160
190908 -0.513138
190909 -0.559582
190910 -0.610982
190911 -0.622176
190912 -0.616506
191001 -0.508961
191002 -0.530543
191003 -0.577063
191004 -0.544471
191005 -0.537359
191006 -0.458936
191007 -0.523059
191008 -0.600330
191009 -0.482564
191010 -0.477840
191011 -0.559288
191012 -0.614089
191101 -0.488229
191102 -0.656913
191103 -0.585316
191104 -0.761766
191105 -0.693725
191106 -0.665642
191107 -0.622846
191108 -0.587894
191109 -0.571004
191110 -0.440496
191111 -0.335161
191112 -0.293908
191201 -0.171639
191202 -0.268532
191203 -0.174108
191204 -0.037384
191205 -0.289867
191206 -0.204103
191207 -0.284996
191208 -0.415501
191209 -0.331775
191210 -0.403386
191211 -0.508273
191212 -0.422743
191301 -0.471423
191302 -0.280754
191303 -0.478762
191304 -0.629721
191305 -0.321489
191306 -0.358862
191307 -0.325894
191308 -0.382619
191309 -0.415085
191310 -0.323912
191311 -0.265447
191312 -0.142714
191401 -0.175620
191402 -0.175369
191403 -0.240038
191404 -0.242994
191405 -0.338278
191406 -0.323189
191407 -0.423130
191408 -0.318661
191409 -0.227592
191410 -0.213005
191411 0.056790
191412 -0.095157
191501 -0.163497
191502 -0.154273
191503 0.084751
191504 -0.024853
191505 -0.017975
191506 -0.116061
191507 -0.016652
191508 0.046922
191509 -0.083711
191510 -0.308453
191511 -0.249350
191512 -0.298978
191601 -0.199004
191602 -0.298045
191603 -0.325235
191604 -0.337601
191605 -0.327549
191606 -0.467008
191607 -0.400744
191608 -0.526922
191609 -0.648459
191610 -0.611966
191611 -0.817591
191612 -0.753524
191701 -0.935874
191702 -0.670545
191703 -0.948964
191704 -0.666705
191705 -0.655972
191706 -0.423460
191707 -0.260130
191708 -0.252289
191709 -0.397682
191710 -0.595828
191711 -0.652600
191712 -0.441836
191801 -0.533984
191802 -0.674752
191803 -0.673799
191804 -0.673939
191805 -0.572331
191806 -0.484040
191807 -0.384457
191808 -0.404144
191809 -0.323785
191810 -0.186723
191811 0.048728
191812 0.071847
191901 -0.021729
191902 0.135114
191903 -0.164249
191904 -0.202137
191905 -0.231650
191906 -0.302879
191907 -0.433252
191908 -0.426677
191909 -0.403480
191910 -0.434105
191911 -0.486902
191912 -0.548453
192001 -0.350535
192002 -0.386127
192003 -0.109481
192004 -0.458997
192005 -0.317810
192006 -0.168402
192007 -0.366829
192008 -0.360770
192009 -0.330254
192010 -0.239923
192011 -0.360434
192012 -0.260381
192101 -0.243972
192102 -0.265162
192103 -0.579006
192104 -0.355821
192105 -0.416153
192106 -0.319910
192107 -0.219303
192108 -0.289611
192109 -0.200927
192110 -0.182800
192111 -0.169016
192112 0.014551
192201 -0.375289
192202 -0.159378
192203 -0.149788
192204 -0.299789
192205 -0.420188
192206 -0.412176
192207 -0.352917
192208 -0.471825
192209 -0.430072
192210 -0.425895
192211 -0.354558
192212 -0.422558
192301 -0.366786
192302 -0.422315
192303 -0.573227
192304 -0.291929
192305 -0.236471
192306 -0.293260
192307 -0.288084
192308 -0.340003
192309 -0.324935
192310 -0.243526
192311 -0.070812
