time(yyyymm) ts_tlt
202212 -0.360680
202301 -0.273651
202302 -0.066889
202303 -0.071318
202304 0.003683
202305 0.408086
202306 0.572507
202307 0.828117
202308 0.787187
202309 0.814396
202310 0.778658
202311 0.848233
202312 0.967676
202401 1.248757
202402 1.237016
202403 1.225931
202404 1.158961
202405 1.192741
202406 0.839532
202407 0.957939
202408 0.754482
202409 0.783187
202410 0.604080
202411 0.507200
202412 0.502373
