time(yyyymm) ts_sst
188006 26.613615
188007 26.080891
188008 26.183965
188009 25.997568
188010 26.475376
188011 26.669226
188012 26.697534
188101 26.659979
188102 26.896370
188103 27.284178
188104 27.582866
188105 27.405974
188106 27.034765
188107 26.508316
188108 26.244534
188109 26.327071
188110 26.483842
188111 26.669758
188112 26.692355
188201 26.732116
188202 26.870212
188203 27.153159
188204 27.483003
188205 27.225974
188206 26.631865
188207 26.254656
188208 26.093416
188209 26.266850
188210 26.286595
188211 26.612595
188212 26.511108
188301 26.487952
188302 26.571880
188303 27.136399
188304 27.265825
188305 27.332235
188306 26.886706
188307 26.270403
188308 26.030144
188309 26.202696
188310 26.206260
188311 26.657419
188312 26.445388
188401 26.335144
188402 26.816420
188403 26.931182
188404 27.147656
188405 27.313014
188406 26.769183
188407 26.207653
188408 26.065692
188409 26.279960
188410 26.366206
188411 26.564526
188412 26.555814
188501 26.545761
188502 26.795582
188503 26.955668
188504 27.267535
188505 27.167813
188506 26.666177
188507 26.218154
188508 25.981782
188509 26.277020
188510 26.739273
188511 26.844441
188512 26.669122
188601 26.641570
188602 26.698598
188603 27.038010
188604 27.325906
188605 27.235157
188606 26.634890
188607 26.165052
188608 25.997649
188609 26.035198
188610 26.165803
188611 26.437725
188612 26.106089
188701 26.141446
188702 26.382581
188703 26.732369
188704 26.913463
188705 26.814769
188706 26.462128
188707 26.185357
188708 25.942658
188709 26.072381
188710 26.319184
188711 26.578759
188712 26.528586
188801 26.495599
188802 26.778955
188803 27.198316
188804 27.304109
188805 27.324782
188806 26.857896
188807 26.507353
188808 26.244184
188809 26.393093
188810 26.812843
188811 27.030125
188812 27.001685
188901 27.071088
188902 27.171872
188903 27.455993
188904 27.539835
188905 27.420285
188906 26.946916
188907 26.507547
188908 26.196935
188909 26.174706
188910 26.178238
188911 26.528874
188912 26.476002
189001 26.192896
189002 26.534819
189003 26.869683
189004 27.035259
189005 26.986449
189006 26.490235
189007 26.060736
189008 25.603281
189009 25.819287
189010 26.012769
189011 26.095598
189012 26.556069
189101 26.370282
189102 26.677668
189103 26.981609
189104 27.286534
189105 27.339771
189106 26.728680
189107 26.228434
189108 26.063882
189109 26.163931
189110 26.495242
189111 26.555173
189112 26.562330
189201 26.641117
189202 26.834137
189203 26.946203
189204 27.072871
189205 27.000703
189206 26.457021
189207 25.884358
189208 25.693513
189209 25.859319
189210 25.893654
189211 26.004331
189212 26.293939
189301 26.255466
189302 26.521162
189303 26.814844
189304 26.922762
189305 26.874451
189306 26.530522
189307 26.190073
189308 25.921583
189309 25.921166
189310 26.202396
189311 26.136350
189312 26.248760
189401 26.217555
189402 26.457899
189403 26.748336
189404 27.008241
189405 26.890562
189406 26.511820
189407 26.221833
189408 25.928324
189409 26.076710
189410 26.195757
189411 26.317638
189412 26.401452
189501 26.599945
189502 26.731784
189503 26.970389
189504 27.363935
189505 27.205204
189506 26.718516
189507 26.373051
189508 26.310197
189509 26.357347
189510 26.544555
189511 26.889796
189512 26.650169
189601 26.689841
189602 26.808016
189603 27.331344
189604 27.471909
189605 27.356758
189606 26.947333
189607 26.667817
189608 26.499218
189609 26.535707
189610 26.679497
189611 27.092103
189612 27.093856
189701 27.007715
189702 27.184270
189703 27.490742
189704 27.588324
189705 27.387186
189706 26.907354
189707 26.554525
189708 26.427595
189709 26.334655
189710 26.592986
189711 26.545060
189712 26.570413
189801 26.483657
189802 26.572583
189803 26.779152
189804 27.060464
189805 26.962552
189806 26.641992
189807 26.194635
189808 25.879219
189809 26.080445
189810 26.209048
189811 26.473806
189812 26.433821
189901 26.424869
189902 26.519273
189903 26.839066
189904 27.074124
189905 27.177295
189906 26.532479
189907 26.309790
189908 26.264499
189909 26.246714
189910 26.658859
189911 26.738575
189912 26.921622
190001 26.844444
190002 27.110961
190003 27.165672
190004 27.643665
190005 27.357598
190006 26.994212
190007 26.546577
190008 26.245147
190009 26.377539
190010 26.627468
190011 26.654711
190012 26.825594
190101 26.821193
190102 26.845360
190103 27.154903
190104 27.362453
190105 27.226834
190106 26.614078
190107 26.234363
190108 26.154660
190109 25.991315
190110 26.311787
190111 26.553350
190112 26.412236
190201 26.410323
190202 26.645157
190203 26.854736
190204 27.406308
190205 27.238832
190206 26.749998
190207 26.427875
190208 26.179336
190209 26.209964
190210 26.448160
190211 26.637993
190212 26.737372
190301 26.670855
190302 26.707456
190303 26.909871
190304 27.102265
190305 26.992975
190306 26.611835
190307 26.164534
190308 25.815414
190309 25.913594
190310 26.130706
190311 26.200906
190312 26.190279
190401 26.013052
190402 26.082244
190403 26.652052
190404 26.772672
190405 26.765800
190406 26.328356
190407 25.962945
190408 25.862885
190409 25.949629
190410 26.275354
190411 26.419166
190412 26.499791
190501 26.411475
190502 26.567127
190503 26.982789
190504 27.171311
190505 27.186792
190506 26.856983
190507 26.357198
190508 26.180235
190509 26.237463
190510 26.433170
190511 26.612106
190512 26.654473
190601 26.687860
190602 26.870917
190603 27.101737
190604 27.279679
190605 27.095663
190606 26.676055
190607 26.330025
190608 25.979546
190609 26.068590
190610 26.027328
190611 26.384816
190612 26.462131
190701 26.255374
190702 26.461166
190703 26.786115
190704 27.045639
190705 27.012081
190706 26.617920
190707 26.253524
190708 25.939616
190709 26.131292
190710 26.245989
190711 26.464085
190712 26.387394
190801 26.403986
190802 26.497628
190803 26.589817
190804 26.878096
190805 26.934631
190806 26.386984
190807 25.951607
190808 25.716044
190809 25.905843
190810 26.040466
190811 26.178233
190812 26.082922
190901 26.238493
190902 26.396319
190903 26.635671
190904 26.945390
190905 26.935260
190906 26.434931
190907 25.902584
190908 25.674516
190909 25.818040
190910 25.912062
190911 26.069990
190912 26.050324
191001 26.126784
191002 26.260616
191003 26.427815
191004 26.736772
191005 26.758042
191006 26.535015
191007 25.972322
191008 25.732505
191009 25.850163
191010 26.027400
191011 26.116154
191012 26.152445
191101 26.272216
191102 26.252788
191103 26.605362
191104 26.708042
191105 26.671718
191106 26.354351
191107 25.956232
191108 25.828760
191109 26.114278
191110 26.289506
191111 26.550793
191112 26.502836
191201 26.551322
191202 26.724806
191203 27.036303
191204 27.416494
191205 27.090769
191206 26.737133
191207 26.256927
191208 25.938650
191209 26.149069
191210 26.271250
191211 26.419882
191212 26.385012
191301 26.363389
191302 26.672303
191303 26.819666
191304 26.985338
191305 27.033616
191306 26.604401
191307 26.232442
191308 26.009609
191309 25.958704
191310 26.346136
191311 26.545333
191312 26.633121
191401 26.622117
191402 26.803510
191403 26.995075
191404 27.370649
191405 27.182347
191406 26.741337
191407 26.283633
191408 26.155639
191409 26.313284
191410 26.458987
191411 26.778741
191412 26.717710
191501 26.523459
191502 26.695885
191503 27.262167
191504 27.436788
191505 27.331084
191506 26.904690
191507 26.620659
191508 26.343810
191509 26.347332
191510 26.415660
191511 26.549674
191512 26.397021
191601 26.511651
191602 26.602857
191603 26.812229
191604 27.189081
191605 26.992575
191606 26.605860
191607 26.033574
191608 25.804086
191609 25.923652
191610 25.908638
191611 26.089179
191612 25.943753
191701 25.746199
191702 25.999444
191703 26.281748
191704 26.832505
191705 26.696821
191706 26.447708
191707 26.161675
191708 26.034040
191709 25.958375
191710 26.124322
191711 26.075093
191712 26.198890
191801 26.232044
191802 26.217444
191803 26.580246
191804 26.934361
191805 26.932690
191806 26.447490
191807 26.286754
191808 25.957300
191809 26.214754
191810 26.550485
191811 26.801891
191812 26.827747
191901 26.656192
191902 26.899209
191903 27.034721
191904 27.362404
191905 27.063997
191906 26.710683
191907 26.163467
191908 25.904279
191909 26.230282
191910 26.184398
191911 26.376156
191912 26.426132
192001 26.514503
192002 26.651460
192003 27.184479
192004 27.119424
192005 27.135167
192006 26.687117
192007 26.256952
192008 25.932394
192009 26.237394
192010 26.372622
192011 26.424618
192012 26.391121
192101 26.467967
192102 26.584220
192103 26.635390
192104 27.119447
192105 26.917618
192106 26.602126
192107 26.265770
192108 25.956550
192109 26.143845
192110 26.400445
192111 26.469757
192112 26.625678
192201 26.251956
192202 26.637233
192203 27.021097
192204 27.074219
192205 26.967483
192206 26.464164
192207 26.084400
192208 25.813362
192209 25.971722
192210 26.237459
192211 26.374913
192212 26.342128
192301 26.283074
192302 26.426803
192303 26.639576
192304 27.115249
192305 26.974199
192306 26.606109
192307 26.162708
192308 25.869534
192309 26.088417
192310 26.330049
192311 26.653667
192312 26.730556
192401 26.520470
192402 26.827454
192403 27.055004
192404 27.394077
192405 27.175641
192406 26.669330
192407 26.161178
192408 25.846486
192409 25.917322
192410 26.099930
192411 26.127835
192412 26.043084
192501 26.063014
192502 26.366202
192503 26.833133
192504 26.974136
192505 27.022066
192506 26.695543
192507 26.401557
192508 26.160908
192509 26.215674
192510 26.406228
192511 26.760433
192512 26.752764
192601 26.778710
192602 26.874772
192603 27.279031
192604 27.511582
192605 27.390312
192606 26.918625
192607 26.437126
192608 26.234810
