time(yyyymm) ts_tmt
202304 -0.045453
202305 0.432991
202306 0.621690
202307 0.907999
202308 0.856391
202309 0.880431
202310 0.857287
202311 0.927279
202312 1.068432
202401 1.397610
202402 1.403271
202403 1.434458
202404 1.322774
202405 1.370625
202406 0.934485
202407 1.047183
202408 0.817280
202409 0.884985
202410 0.648355
202411 0.544185
202412 0.509978
